
2024/11/21 (02:07:02) | ===> btop++ v.1.4.0
2024/11/21 (02:07:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (10:57:38) | ===> btop++ v.1.4.0
2024/11/24 (10:57:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (12:57:48) | ===> btop++ v.1.4.0
2024/11/24 (12:57:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (15:28:05) | ===> btop++ v.1.4.0
2024/11/30 (15:28:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (11:44:07) | ===> btop++ v.1.4.0
2025/03/03 (11:44:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (11:22:03) | ===> btop++ v.1.4.0
2025/03/05 (11:22:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (16:51:01) | ===> btop++ v.1.4.0
2025/03/08 (16:51:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (13:20:39) | ===> btop++ v.1.4.0
2025/03/16 (13:20:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:52:08) | ===> btop++ v.1.4.0
2025/03/21 (01:52:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:52:55) | ===> btop++ v.1.4.0
2025/03/21 (01:52:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:53:30) | ===> btop++ v.1.4.0
2025/03/21 (01:53:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:56:08) | ===> btop++ v.1.4.0
2025/03/21 (01:56:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (17:53:12) | ===> btop++ v.1.4.0
2025/03/22 (17:53:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (18:01:35) | ===> btop++ v.1.4.0
2025/03/22 (18:01:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (18:02:20) | ===> btop++ v.1.4.0
2025/03/22 (18:02:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (18:03:29) | ===> btop++ v.1.4.0
2025/03/22 (18:03:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (12:41:21) | ===> btop++ v.1.4.0
2025/03/23 (12:41:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (17:07:08) | ===> btop++ v.1.4.0
2025/03/25 (17:07:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (17:31:34) | ===> btop++ v.1.4.0
2025/03/25 (17:31:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (14:11:26) | ===> btop++ v.1.4.0
2025/04/10 (14:11:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (08:51:49) | ===> btop++ v.1.4.0
2025/04/11 (08:51:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (10:05:18) | ===> btop++ v.1.4.0
2025/04/14 (10:05:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (10:06:29) | ===> btop++ v.1.4.0
2025/04/14 (10:06:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (14:33:08) | ===> btop++ v.1.4.0
2025/04/15 (14:33:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (14:40:01) | ===> btop++ v.1.4.0
2025/04/15 (14:40:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (14:24:25) | ===> btop++ v.1.4.0
2025/04/24 (14:24:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (14:25:06) | ===> btop++ v.1.4.0
2025/04/24 (14:25:06) | WARNING: Intel GPU: Failed to initialize PMU
